iter	Passed	Remaining
0	126	126609
1	128	63958
2	129	43102
3	131	32619
4	132	26302
5	133	22109
6	134	19096
7	136	16916
8	138	15210
9	139	13826
10	140	12643
11	141	11650
12	142	10850
13	144	10193
14	146	9624
15	147	9098
16	148	8611
17	149	8177
18	150	7787
19	151	7436
20	152	7120
21	153	6833
22	154	6568
23	155	6338
24	156	6117
25	157	5913
26	158	5723
27	159	5547
28	160	5380
29	161	5226
30	162	5085
31	163	4951
32	164	4827
33	165	4710
34	166	4595
35	167	4490
36	168	4390
37	169	4297
38	170	4208
39	171	4121
40	172	4039
41	173	3962
42	174	3887
43	175	3815
44	176	3746
45	177	3680
46	178	3618
47	179	3556
48	180	3498
49	181	3442
50	182	3388
51	183	3336
52	184	3287
53	184	3239
54	185	3193
55	186	3149
56	187	3105
57	188	3063
58	189	3023
59	190	2983
60	191	2945
61	192	2908
62	193	2872
63	194	2838
64	194	2804
65	195	2772
66	196	2740
67	197	2703
68	198	2684
69	200	2663
70	201	2637
71	202	2614
72	203	2587
73	204	2561
74	205	2536
75	206	2511
76	207	2486
77	208	2462
78	209	2440
79	210	2417
80	211	2395
81	212	2374
82	212	2352
83	213	2333
84	214	2310
85	215	2290
86	216	2268
87	217	2249
88	218	2231
89	218	2214
90	219	2196
91	220	2179
92	221	2163
93	222	2147
94	223	2130
95	224	2115
96	225	2100
97	226	2085
98	227	2070
99	228	2057
100	229	2044
101	230	2028
102	231	2016
103	232	2004
104	233	1992
105	234	1979
106	235	1966
107	236	1953
108	237	1941
109	238	1930
110	239	1918
111	240	1906
112	241	1895
113	242	1886
114	243	1876
115	244	1864
116	245	1854
117	246	1844
118	247	1832
119	248	1822
120	249	1812
121	250	1802
122	251	1789
123	251	1780
124	252	1770
125	253	1761
126	254	1752
127	255	1741
128	256	1732
129	257	1724
130	259	1718
131	260	1713
132	262	1708
133	263	1700
134	264	1692
135	265	1686
136	268	1690
137	269	1683
138	270	1677
139	271	1670
140	273	1666
141	275	1662
142	276	1656
143	277	1650
144	279	1645
145	280	1639
146	281	1633
147	283	1629
148	284	1625
149	285	1620
150	287	1614
151	289	1615
152	291	1612
153	292	1607
154	294	1604
155	295	1599
156	296	1592
157	297	1585
158	298	1579
159	299	1572
160	300	1566
161	301	1560
162	302	1554
163	303	1548
164	305	1543
165	306	1537
166	307	1531
167	308	1526
168	309	1520
169	310	1514
170	311	1509
171	312	1503
172	313	1497
173	314	1492
174	315	1486
175	316	1481
176	317	1476
177	318	1470
178	319	1465
179	320	1460
180	321	1452
181	322	1447
182	323	1442
183	324	1437
184	325	1431
185	326	1426
186	327	1421
187	328	1417
188	329	1412
189	330	1407
190	331	1402
191	332	1398
192	333	1393
193	334	1389
194	335	1385
195	336	1380
196	337	1376
197	338	1372
198	339	1368
199	340	1363
200	341	1359
201	342	1354
202	344	1350
203	345	1346
204	346	1342
205	347	1338
206	348	1334
207	349	1330
208	350	1326
209	351	1322
210	352	1318
211	353	1314
212	354	1310
213	355	1306
214	356	1302
215	357	1299
216	358	1294
217	359	1290
218	360	1287
219	361	1283
220	363	1279
221	364	1275
222	365	1272
223	366	1268
224	367	1264
225	368	1261
226	369	1258
227	370	1254
228	371	1250
229	372	1247
230	373	1243
231	374	1240
232	375	1236
233	376	1234
234	378	1231
235	379	1228
236	380	1225
237	381	1222
238	382	1219
239	384	1216
240	385	1213
241	386	1211
242	387	1208
243	389	1205
244	390	1202
245	391	1199
246	392	1196
247	393	1193
248	394	1189
249	395	1186
250	396	1183
251	397	1180
252	398	1176
253	399	1173
254	400	1170
255	401	1167
256	402	1164
257	403	1161
258	404	1158
259	406	1155
260	407	1152
261	408	1149
262	409	1146
263	410	1143
264	411	1140
265	412	1137
266	413	1134
267	414	1131
268	415	1128
269	416	1126
270	417	1123
271	419	1121
272	420	1119
273	421	1117
274	422	1114
275	423	1111
276	424	1109
277	425	1106
278	427	1103
279	428	1101
280	429	1098
281	430	1096
282	431	1093
283	432	1091
284	434	1088
285	435	1086
286	436	1083
287	437	1081
288	438	1079
289	440	1077
290	441	1075
291	442	1072
292	443	1070
293	444	1067
294	445	1064
295	446	1062
296	447	1059
297	448	1057
298	449	1054
299	450	1052
300	451	1049
301	453	1047
302	454	1044
303	455	1042
304	456	1039
305	457	1037
306	458	1034
307	459	1032
308	460	1029
309	461	1027
310	462	1025
311	463	1022
312	464	1020
313	465	1017
314	467	1015
315	468	1013
316	469	1010
317	470	1008
318	471	1006
319	472	1003
320	473	1001
321	474	999
322	475	996
323	476	994
324	477	991
325	478	989
326	479	987
327	480	984
328	481	982
329	483	980
330	484	978
331	485	976
332	486	974
333	487	971
334	488	969
335	489	967
336	490	965
337	491	963
338	492	960
339	493	958
340	494	956
341	496	954
342	497	952
343	498	950
344	499	948
345	500	946
346	501	944
347	503	942
348	504	940
349	505	938
350	506	935
351	507	933
352	508	931
353	509	929
354	510	927
355	511	925
356	512	923
357	514	921
358	515	919
359	516	917
360	517	915
361	518	913
362	519	910
363	520	908
364	521	906
365	522	904
366	523	902
367	524	901
368	525	899
369	526	897
370	527	895
371	528	892
372	529	890
373	530	888
374	532	886
375	533	884
376	534	882
377	535	880
378	536	878
379	537	876
380	538	875
381	539	873
382	540	871
383	541	868
384	542	866
385	543	864
386	544	862
387	545	860
388	546	858
389	547	856
390	548	854
391	549	852
392	550	850
393	551	848
394	553	847
395	554	846
396	555	844
397	557	842
398	558	841
399	559	839
400	560	837
401	561	835
402	562	833
403	564	832
404	565	830
405	566	828
406	567	826
407	568	824
408	569	822
409	570	820
410	571	819
411	572	817
412	573	815
413	574	813
414	575	811
415	576	809
416	578	808
417	579	806
418	580	804
419	581	802
420	582	800
421	583	799
422	584	797
423	585	795
424	586	793
425	587	792
426	589	790
427	590	788
428	591	786
429	592	785
430	593	783
431	594	781
432	595	779
433	596	777
434	597	776
435	598	774
436	599	772
437	600	770
438	601	769
439	603	767
440	604	765
441	605	764
442	606	762
443	607	760
444	608	759
445	609	757
446	610	755
447	611	753
448	612	752
449	613	750
450	614	748
451	616	746
452	617	745
453	618	743
454	619	741
455	620	739
456	621	738
457	622	736
458	623	734
459	624	733
460	625	731
461	626	729
462	627	728
463	628	726
464	630	724
465	631	723
466	632	721
467	633	719
468	634	718
469	635	716
470	636	715
471	637	713
472	638	711
