iter	Passed	Remaining
0	137	137153
1	140	70126
2	144	48134
3	147	36824
4	152	30386
5	157	26163
6	161	22926
7	165	20565
8	169	18714
9	175	17352
10	178	16037
11	181	14958
12	187	14259
13	192	13589
14	196	12907
15	200	12329
16	207	11971
17	209	11449
18	213	11036
19	218	10687
20	222	10351
21	225	10019
22	228	9690
23	231	9394
24	233	9120
25	236	8856
26	238	8609
27	241	8381
28	244	8170
29	246	7976
30	249	7813
31	252	7636
32	254	7470
33	257	7318
34	260	7169
35	262	7039
36	265	6910
37	267	6781
38	270	6659
39	272	6541
40	274	6431
41	278	6341
42	280	6244
43	282	6134
44	284	6028
45	285	5925
46	287	5832
47	289	5737
48	290	5641
49	292	5555
50	293	5466
51	295	5379
52	296	5295
53	297	5214
54	298	5135
55	300	5059
56	301	4986
57	302	4915
58	303	4847
59	305	4781
60	306	4721
61	308	4660
62	309	4602
63	310	4545
64	312	4488
65	313	4434
66	314	4381
67	316	4333
68	317	4285
69	319	4239
70	320	4199
71	323	4166
72	324	4124
73	326	4084
74	327	4041
75	329	4000
76	330	3961
77	331	3922
78	333	3884
79	334	3847
80	336	3814
81	337	3781
82	338	3740
83	339	3706
84	341	3674
85	342	3642
86	344	3610
87	345	3580
88	346	3549
89	348	3520
90	349	3490
91	350	3462
92	352	3436
93	353	3409
94	355	3381
95	356	3355
96	357	3328
97	358	3302
98	360	3277
99	361	3252
100	362	3228
101	364	3205
102	365	3183
103	367	3164
104	368	3141
105	369	3119
106	371	3097
107	372	3076
108	374	3057
109	375	3037
110	376	3017
111	378	2997
112	379	2977
113	380	2959
114	382	2942
115	383	2923
116	384	2903
117	386	2885
118	387	2869
119	388	2851
120	390	2834
121	391	2816
122	392	2800
123	394	2783
124	395	2767
125	397	2753
126	398	2736
127	399	2721
128	400	2706
129	402	2692
130	403	2677
131	404	2662
132	406	2647
133	407	2632
134	408	2618
135	409	2604
136	411	2592
137	412	2578
138	413	2564
139	415	2550
140	416	2537
141	417	2522
142	418	2509
143	420	2497
144	421	2484
145	422	2472
146	423	2459
147	425	2447
148	426	2437
149	428	2426
150	429	2414
151	430	2403
152	431	2391
153	433	2379
154	434	2368
155	435	2358
156	437	2347
157	438	2336
158	439	2325
159	441	2316
160	442	2304
161	443	2293
162	444	2284
